"name";"position";"height";"weight";"last_attended";"country"
"Josh Minott";"Forward";"'6'8""";205;"Memphis";"USA"
"Davion Mitchell";"Guard";"'6'0""";202;"Baylor";"USA"
"Malik Monk";"Guard";"'6'3""";200;"Kentucky";"USA"
"Moses Moody";"Guard";"'6'5""";211;"Arkansas";"USA"
"Wendell Moore Jr.";"Guard";"'6'5""";215;"Duke";"USA"
"Markieff Morris";"Forward";"'6'9""";245;"Kansas";"USA"
"Keegan Murray";"Forward";"'6'8""";225;"Iowa";"USA"
"Andrew Nembhard";"Guard-Forward";"'6'4""";191;"Gonzaga";"Canada"
"Aaron Nesmith";"Guard-Forward";"'6'6""";215;"Vanderbilt";"USA"
"Jaylen Nowell";"Guard";"'6'4""";201;"Washington";"USA"
"Frank Ntilikina";"Guard";"'6'4""";200;"Strasbourg IG";"France"
"Josh Okogie";"Guard";"'6'4""";213;"Georgia Tech";"Nigeria"
"Chris Paul";"Guard";"'6'0""";175;"Wake Forest";"USA"
"Brandin Podziemski";"Guard";"'6'4""";205;"Santa Clara";"USA"
"Aleksej Pokusevski";"Forward";"'7'0""";210;"Olympiacos";"Serbia"
"Jordan Poole";"Guard";"'6'4""";194;"Michigan";"USA"
"Otto Porter Jr.";"Forward";"'6'8""";230;"Georgetown";"USA"
"Kristaps Porzingis";"Forward-Center";"'7'2""";240;"Cajasol Sevilla";"Latvia"
"Dwight Powell";"Forward-Center";"'6'10""";240;"Stanford";"Canada"
"Payton Pritchard";"Guard";"'6'1""";195;"Oregon";"USA"
"Olivier-Maxence Prosper";"Forward";"'6'7""";230;"Marquette";"Canada"
"Neemias Queta";"Center";"'7'0""";248;"Utah State";"Portugal"
"Nick Richards";"Center";"'7'0""";245;"Kentucky";"Jamaica"
"Josh Richardson";"Guard";"'6'5""";200;"Tennessee";"USA"
"Jerome Robinson";"Guard";"'6'5""";190;"Boston College";"USA"
"Mitchell Robinson";"Center-Forward";"'7'0""";240;"Western Kentucky";"USA"
"Jeremiah Robinson-Earl";"Forward";"'6'8""";240;"Villanova";"USA"
