TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
1610612758,SAC,2024-04-02T00:00:00,75,44,31,0.587,2195.435,325,676,0.481,142,356,0.399,135,168,0.804,60,161,221,88,53,48,11,24,93,147,927,-106,1448.2,0,0,1496.0,8,6,6,4,8,6,8,3,1,2,3,9,10,7,10,12,11,11,12,8,8,2,4,9,7,9,9,12,1,8,Harrison Barnes
1610612752,NYK,2023-12-29T00:00:00,26,15,11,0.577,766.5083333333333,164,388,0.423,43,130,0.331,103,124,0.831,19,92,111,63,47,12,9,41,45,85,474,-17,717.7,0,0,733.0,6,5,1,1,6,6,6,4,6,5,4,5,6,1,6,6,6,6,6,6,6,1,1,6,6,2,6,6,1,6,RJ Barrett
1610612756,PHX,2024-02-04T00:00:00,39,23,16,0.59,597.0,64,150,0.427,20,64,0.313,26,36,0.722,30,71,101,34,13,22,20,15,33,22,174,-42,459.2,0,0,413.0,3,1,3,1,4,4,4,6,3,3,4,4,4,5,3,4,4,3,5,3,1,5,5,4,4,5,4,2,1,4,Keita Bates-Diop
1610612746,LAC,2023-10-29T00:00:00,3,2,1,0.667,54.10833333333333,3,8,0.375,2,7,0.286,0,0,0.0,0,7,7,5,1,3,4,0,5,0,8,0,43.9,0,0,36.0,17,17,1,1,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,1,1,17,17,12,17,11,6,17,Nicolas Batum
1610612756,PHX,2024-04-01T00:00:00,46,28,18,0.609,1524.2383333333332,317,634,0.5,79,203,0.389,96,121,0.793,43,150,193,235,116,45,18,29,109,91,809,71,1466.1,3,0,1442.0,11,7,1,2,11,11,12,2,11,12,4,12,12,7,8,11,10,9,10,10,8,2,3,12,11,5,11,6,2,11,Bradley Beal
1610612766,CHA,2024-04-01T00:00:00,22,7,15,0.318,447.745,61,159,0.384,52,136,0.382,13,15,0.867,5,34,39,21,10,16,6,5,32,15,187,-84,321.3,0,0,343.0,8,10,3,10,8,7,8,8,7,8,7,8,7,5,9,9,9,6,7,6,7,5,3,8,8,10,8,2,1,8,Davis Bertans
1610612760,OKC,2024-01-31T00:00:00,15,11,4,0.733,91.10833333333332,10,26,0.385,10,24,0.417,14,15,0.933,2,8,10,9,1,3,3,1,10,8,44,24,86.5,0,0,85.0,10,9,1,3,10,10,10,7,10,10,3,7,7,1,10,10,10,10,10,10,10,2,1,10,10,6,10,2,1,10,Davis Bertans
1610612760,OKC,2024-03-29T00:00:00,7,4,3,0.571,39.656666666666666,1,4,0.25,0,0,0.0,2,4,0.5,3,3,6,2,4,1,1,2,6,2,4,-3,16.2,0,0,16.0,14,14,1,3,14,14,14,14,1,4,1,14,14,10,14,14,14,14,14,14,14,1,1,14,14,4,14,14,1,14,Bismack Biyombo
1610612766,CHA,2024-02-09T00:00:00,22,1,21,0.045,217.83166666666668,17,39,0.436,7,15,0.467,9,14,0.643,8,30,38,18,5,5,6,5,15,11,50,-39,150.6,0,0,135.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Leaky Black
1610612752,NYK,2024-04-02T00:00:00,22,11,11,0.5,437.5366666666667,82,197,0.416,35,101,0.347,29,37,0.784,8,41,49,21,32,5,1,12,34,25,228,-72,304.3,0,0,345.0,12,10,1,7,12,12,12,12,12,12,12,12,12,11,12,12,12,11,12,12,10,1,1,12,12,7,12,4,1,12,Bojan Bogdanovic
1610612756,PHX,2024-04-01T00:00:00,37,24,13,0.649,411.2416666666667,83,134,0.619,19,45,0.422,13,17,0.765,30,92,122,16,15,6,22,2,39,10,198,26,437.4,1,0,411.0,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,1,2,2,1,2,Bol Bol
1610612766,CHA,2024-04-01T00:00:00,3,0,3,0.0,27.55,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,0,1,0,0,0,4,1,4,-12,10.2,0,0,10.0,2,3,3,3,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,3,2,1,4,2,2,4,2,1,1,2,Marques Bolden
1610612756,PHX,2024-04-01T00:00:00,61,38,23,0.623,2181.165,590,1189,0.496,136,370,0.368,354,402,0.881,50,239,289,422,154,52,27,46,187,312,1670,264,2732.8,12,0,2675.0,7,3,4,4,6,5,6,1,5,7,3,4,4,2,1,4,3,3,8,5,1,2,5,6,6,3,3,1,1,3,Devin Booker
1610612746,LAC,2024-04-02T00:00:00,27,15,12,0.556,242.055,44,103,0.427,10,33,0.303,17,25,0.68,11,23,34,7,11,4,7,7,32,18,115,-92,188.3,0,0,188.0,2,2,1,1,3,3,3,1,3,2,3,3,3,3,2,2,2,3,3,3,2,1,2,3,3,3,3,1,1,3,Brandon Boston Jr.
1610612766,CHA,2024-02-04T00:00:00,14,0,14,0.0,80.9,18,41,0.439,13,30,0.433,1,2,0.5,1,8,9,6,2,1,1,2,3,3,50,-11,73.8,0,0,82.0,3,3,1,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,2,1,1,3,3,1,3,1,1,3,James Bouknight
1610612766,CHA,2024-04-01T00:00:00,64,15,49,0.234,2418.9333333333334,527,1143,0.461,150,427,0.351,163,200,0.815,68,411,479,216,129,63,30,60,111,160,1367,-607,2415.8,19,0,2398.0,5,5,5,5,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,5,4,1,2,2,5,2,1,1,2,Miles Bridges
1610612738,BOS,2024-04-01T00:00:00,49,41,8,0.837,573.815,59,131,0.45,15,52,0.288,44,69,0.638,51,88,139,40,15,16,5,6,49,50,177,130,451.8,0,0,413.0,3,1,2,1,3,4,4,2,4,4,4,4,3,5,3,3,3,3,3,4,4,2,3,3,4,1,4,4,1,4,Oshae Brissett
1610612754,IND,2024-01-14T00:00:00,33,19,14,0.576,980.5783333333334,149,314,0.475,33,101,0.327,67,82,0.817,25,129,154,100,41,35,8,20,81,59,398,80,820.8,1,0,771.0,6,5,1,3,6,5,5,4,3,2,4,5,5,2,7,6,6,5,6,6,7,1,2,5,5,1,6,4,2,5,Bruce Brown
1610612738,BOS,2024-03-30T00:00:00,66,50,16,0.758,2215.7116666666666,595,1185,0.502,138,385,0.358,204,291,0.701,78,286,364,239,151,77,32,67,173,234,1532,441,2503.3,5,1,2491.0,5,1,1,1,3,2,3,1,4,4,4,3,3,5,1,4,3,1,4,1,1,6,6,4,3,2,2,5,2,3,Jaylen Brown
1610612754,IND,2024-04-01T00:00:00,13,8,5,0.615,50.458333333333336,6,11,0.545,0,1,0.0,5,8,0.625,3,1,4,4,1,0,0,0,8,6,17,-28,26.8,0,0,25.0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,Kendall Brown
1610612746,LAC,2024-04-02T00:00:00,39,25,14,0.641,300.49833333333333,26,65,0.4,12,39,0.308,1,2,0.5,10,37,47,17,7,6,3,4,42,3,65,-58,166.9,0,0,159.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kobe Brown
1610612742,DAL,2024-01-05T00:00:00,6,3,3,0.5,39.74333333333333,5,11,0.455,1,3,0.333,4,9,0.444,3,6,9,4,4,0,4,1,5,5,15,-9,39.8,0,0,37.0,3,3,1,2,3,3,3,1,2,3,1,3,3,2,2,3,3,2,3,3,3,1,1,3,3,2,3,1,1,3,Greg Brown III
1610612752,NYK,2024-03-08T00:00:00,8,2,6,0.25,37.28333333333333,2,10,0.2,2,7,0.286,0,0,0.0,1,1,2,0,2,0,2,1,5,1,6,-6,12.4,0,0,14.0,4,2,3,3,4,4,4,4,3,4,2,4,4,4,4,4,4,5,4,5,2,3,3,4,4,3,5,1,1,4,Charlie Brown Jr.
1610612750,MIN,2024-02-04T00:00:00,37,28,9,0.757,409.79,52,118,0.441,31,84,0.369,19,22,0.864,14,58,72,35,18,8,2,2,26,15,154,1,304.9,0,0,312.0,5,3,2,1,5,5,5,2,4,4,2,5,5,2,5,5,5,5,5,5,6,1,3,5,5,2,5,4,1,5,Troy Brown Jr.
1610612752,NYK,2024-04-02T00:00:00,70,43,27,0.614,2456.866666666667,697,1466,0.475,189,476,0.397,362,430,0.842,39,211,250,459,170,63,13,55,132,422,1945,436,2991.5,6,0,2995.0,3,2,2,2,2,1,1,4,1,1,3,1,1,1,3,2,2,1,1,2,2,6,4,1,1,1,1,2,1,1,Jalen Brunson
1610612748,MIA,2024-03-31T00:00:00,37,21,16,0.568,417.9683333333333,78,139,0.561,4,21,0.19,39,45,0.867,37,94,131,22,19,10,15,9,45,31,199,-1,445.2,1,0,406.0,4,2,4,2,5,4,5,5,6,5,7,4,4,2,4,4,4,5,4,4,5,5,5,5,5,1,4,4,1,4,Thomas Bryant
