"person_id";"player_name";"season";"round_num";"round_pick";"overall_pick";"draft_type";"team_id";"team_city";"team_name";"team_abbr";"organization";"organization_type";"player_profile_flag"
2544;"LeBron James";2003;1;1;1;"Draft";1610612739;"Cleveland";"Cavaliers";"CLE";"Saint Vincent-Saint Mary";"High School";"1"
2545;"Darko Milicic";2003;1;2;2;"Draft";1610612765;"Detroit";"Pistons";"DET";"KK Vrsac (Serbia)";"Other Team/Club";"1"
2546;"Carmelo Anthony";2003;1;3;3;"Draft";1610612743;"Denver";"Nuggets";"DEN";"Syracuse";"College/University";"1"
2547;"Chris Bosh";2003;1;4;4;"Draft";1610612761;"Toronto";"Raptors";"TOR";"Georgia Tech";"College/University";"1"
2550;"Kirk Hinrich";2003;1;7;7;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Kansas";"College/University";"1"
2551;"T.J. Ford";2003;1;8;8;"Draft";1610612749;"Milwaukee";"Bucks";"MIL";"Texas";"College/University";"1"
2556;"Marcus Banks";2003;1;13;13;"Draft";1610612763;"Memphis";"Grizzlies";"MEM";"Nevada-Las Vegas";"College/University";"1"
2558;"Reece Gaines";2003;1;15;15;"Draft";1610612753;"Orlando";"Magic";"ORL";"Louisville";"College/University";"1"
2564;"Boris Diaw";2003;1;21;21;"Draft";1610612737;"Atlanta";"Hawks";"ATL";"Elan Bearnais Pau-Orthez (France)";"Other Team/Club";"1"
2565;"Zoran Planinic";2003;1;22;22;"Draft";1610612751;"New Jersey";"Nets";"NJN";"KK Cibona (Croatia)";"Other Team/Club";"1"
2566;"Travis Outlaw";2003;1;23;23;"Draft";1610612757;"Portland";"Trail Blazers";"POR";"Starkville";"High School";"1"
2567;"Brian Cook";2003;1;24;24;"Draft";1610612747;"Los Angeles";"Lakers";"LAL";"Illinois";"College/University";"1"
2568;"Carlos Delfino";2003;1;25;25;"Draft";1610612765;"Detroit";"Pistons";"DET";"Fortitudo Pallacanestro Bologna (Italy)";"Other Team/Club";"1"
2570;"Kendrick Perkins";2003;1;27;27;"Draft";1610612763;"Memphis";"Grizzlies";"MEM";"Clifton J. Ozen";"High School";"1"
2571;"Leandro Barbosa";2003;1;28;28;"Draft";1610612759;"San Antonio";"Spurs";"SAS";"Associacao Bauru Basketball Team (Brazil)";"Other Team/Club";"1"
2574;"Jason Kapono";2003;2;2;31;"Draft";1610612739;"Cleveland";"Cavaliers";"CLE";"California-Los Angeles";"College/University";"1"
2575;"Luke Walton";2003;2;3;32;"Draft";1610612747;"Los Angeles";"Lakers";"LAL";"Arizona";"College/University";"1"
2578;"Szymon Szewczyk";2003;2;6;35;"Draft";1610612749;"Milwaukee";"Bucks";"MIL";"Basketball Lowen Braunschweig (Germany)";"Other Team/Club";"0"
2579;"Mario Austin";2003;2;7;36;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Mississippi State";"College/University";"0"
2580;"Travis Hansen";2003;2;8;37;"Draft";1610612737;"Atlanta";"Hawks";"ATL";"Brigham Young";"College/University";"1"
2585;"Zaza Pachulia";2003;2;13;42;"Draft";1610612753;"Orlando";"Magic";"ORL";"Ulkerspor (Turkey)";"Other Team/Club";"1"
2586;"Keith Bogans";2003;2;14;43;"Draft";1610612749;"Milwaukee";"Bucks";"MIL";"Kentucky";"College/University";"1"
2587;"Malick Badiane";2003;2;15;44;"Draft";1610612745;"Houston";"Rockets";"HOU";"TV Langen (Germany)";"Other Team/Club";"1"
2588;"Matt Bonner";2003;2;16;45;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Florida";"College/University";"1"
2589;"Sani Becirovic";2003;2;17;46;"Draft";1610612743;"Denver";"Nuggets";"DEN";"Virtus Pallacanestro Bologna (Italy)";"Other Team/Club";"1"
2593;"Paccelis Morlende";2003;2;21;50;"Draft";1610612755;"Philadelphia";"76ers";"PHI";"JDA Dijon Basket (France)";"Other Team/Club";"0"
2594;"Kyle Korver";2003;2;22;51;"Draft";1610612751;"New Jersey";"Nets";"NJN";"Creighton";"College/University";"1"
2595;"Remon Van de Hare";2003;2;23;52;"Draft";1610612761;"Toronto";"Raptors";"TOR";"FC Barcelona Basquet (Spain)";"Other Team/Club";"0"
2596;"Tommy Smith";2003;2;24;53;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Arizona State";"College/University";"1"
2597;"Nedzad Sinanovic";2003;2;25;54;"Draft";1610612757;"Portland";"Trail Blazers";"POR";"HKK Brotnjo (Bosnia and Herzegovina)";"Other Team/Club";"0"
2601;"Andreas Glyniadakis";2003;2;29;58;"Draft";1610612765;"Detroit";"Pistons";"DET";"A.E.K. Athens B.C. (Greece)";"Other Team/Club";"1"
2730;"Dwight Howard";2004;1;1;1;"Draft";1610612753;"Orlando";"Magic";"ORL";"Southwest Atlanta Christian Academy";"High School";"1"
2732;"Ben Gordon";2004;1;3;3;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Connecticut";"College/University";"1"
2735;"Josh Childress";2004;1;6;6;"Draft";1610612737;"Atlanta";"Hawks";"ATL";"Stanford";"College/University";"1"
2737;"Rafael Araujo";2004;1;8;8;"Draft";1610612761;"Toronto";"Raptors";"TOR";"Brigham Young";"College/University";"1"
2738;"Andre Iguodala";2004;1;9;9;"Draft";1610612755;"Philadelphia";"76ers";"PHI";"Arizona";"College/University";"1"
2739;"Luke Jackson";2004;1;10;10;"Draft";1610612739;"Cleveland";"Cavaliers";"CLE";"Oregon";"College/University";"1"
2742;"Sebastian Telfair";2004;1;13;13;"Draft";1610612757;"Portland";"Trail Blazers";"POR";"Abraham Lincoln";"High School";"1"
2746;"Josh Smith";2004;1;17;17;"Draft";1610612737;"Atlanta";"Hawks";"ATL";"Oak Hill Academy";"High School";"1"
2749;"Jameer Nelson";2004;1;20;20;"Draft";1610612743;"Denver";"Nuggets";"DEN";"Saint Joseph's";"College/University";"1"
2751;"Viktor Khryapa";2004;1;22;22;"Draft";1610612751;"New Jersey";"Nets";"NJN";"PBC CSKA Moscow (Russia)";"Other Team/Club";"1"
2752;"Sergei Monia";2004;1;23;23;"Draft";1610612757;"Portland";"Trail Blazers";"POR";"PBC CSKA Moscow (Russia)";"Other Team/Club";"1"
2756;"Sasha Vujacic";2004;1;27;27;"Draft";1610612747;"Los Angeles";"Lakers";"LAL";"Pallalcesto Amatori Udine (Italy)";"Other Team/Club";"1"
2757;"Beno Udrih";2004;1;28;28;"Draft";1610612759;"San Antonio";"Spurs";"SAS";"Olimpia Milano (Italy)";"Other Team/Club";"1"
2760;"Anderson Varejao";2004;2;1;30;"Draft";1610612753;"Orlando";"Magic";"ORL";"FC Barcelona Basquet (Spain)";"Other Team/Club";"1"
2761;"Jackson Vroman";2004;2;2;31;"Draft";1610612741;"Chicago";"Bulls";"CHI";"Iowa State";"College/University";"1"
2764;"Donta Smith";2004;2;5;34;"Draft";1610612737;"Atlanta";"Hawks";"ATL";"Southeastern Illinois";"College/University";"1"
2766;"Antonio Burks";2004;2;7;36;"Draft";1610612753;"Orlando";"Magic";"ORL";"Memphis";"College/University";"1"
