"name";"position";"height";"weight";"last_attended";"country"
"Ochai Agbaji";"Guard";"'6'5""";215;"Kansas";"USA"
"Jarrett Allen";"Center";"'6'9""";243;"Texas";"USA"
"Giannis Antetokounmpo";"Forward";"'6'11""";243;"Filathlitikos";"Greece"
"Cole Anthony";"Guard";"'6'2""";185;"North Carolina";"USA"
"Lonzo Ball";"Guard";"'6'6""";190;"UCLA";"USA"
"Mo Bamba";"Center";"'7'0""";231;"Texas";"USA"
"Paolo Banchero";"Forward";"'6'10""";250;"Duke";"USA"
"Dalano Banton";"Forward";"'6'8""";204;"Nebraska";"Canada"
"Scottie Barnes";"Forward-Guard";"'6'7""";237;"Florida State";"USA"
"Charles Bassey";"Center-Forward";"'6'10""";230;"Western Kentucky";"Nigeria"
"Emoni Bates";"Forward";"'6'8""";170;"Eastern Michigan";"USA"
"Nicolas Batum";"Guard-Forward";"'6'8""";230;"Le Mans";"France"
"Malik Beasley";"Guard";"'6'4""";187;"Florida State";"USA"
"MarJon Beauchamp";"Forward";"'6'7""";199;"NBA G League Ignite";"USA"
"Patrick Beverley";"Guard";"'6'2""";180;"Arkansas";"USA"
"Saddiq Bey";"Guard-Forward";"'6'7""";215;"Villanova";"USA"
"Anthony Black";"Guard";"'6'7""";200;"Arkansas";"USA"
"Malaki Branham";"Forward";"'6'4""";180;"Ohio State";"USA"
"Christian Braun";"Guard";"'6'6""";220;"Kansas";"USA"
"Mikal Bridges";"Guard-Forward";"'6'6""";209;"Villanova";"USA"
"Malcolm Brogdon";"Guard";"'6'4""";229;"Virginia";"USA"
"Dillon Brooks";"Guard-Forward";"'6'6""";225;"Oregon";"Canada"
"Bruce Brown";"Guard-Forward";"'6'4""";202;"Miami";"USA"
"Kobe Bufkin";"Guard";"'6'5""";195;"Michigan";"USA"
"Kentavious Caldwell-Pope";"Guard";"'6'5""";204;"Georgia";"USA"
"Vlatko Cancar";"Forward";"'6'8""";236;"San Pablo Burgos";"Slovenia"
"Clint Capela";"Center";"'6'10""";256;"Elan Chalon";"Switzerland"
"Jevon Carter";"Guard";"'6'1""";200;"West Virginia";"USA"
"Wendell Carter Jr.";"Center-Forward";"'6'10""";270;"Duke";"USA"
"Max Christie";"Guard";"'6'5""";190;"Michigan State";"USA"
