"name";"position";"height";"weight";"last_attended";"country"
"Sidy Cissoko";"Guard";"'6'6""";200;"NBA G League Ignite";"France"
"Nic Claxton";"Center";"'6'11""";215;"Georgia";"USA"
"Noah Clowney";"Forward";"'6'9""";210;"Alabama";"USA"
"Pat Connaughton";"Guard";"'6'5""";209;"Notre Dame";"USA"
"Sharife Cooper";"Guard";"'6'1""";176;"Auburn";"USA"
"Jae Crowder";"Forward";"'6'6""";235;"Marquette";"USA"
"Cade Cunningham";"Guard";"'6'6""";220;"Oklahoma State";"USA"
"DeMar DeRozan";"Guard-Forward";"'6'6""";220;"Southern California";"USA"
"Gradey Dick";"Guard-Forward";"'6'6""";200;"Kansas";"USA"
"Spencer Dinwiddie";"Guard";"'6'5""";215;"Colorado";"USA"
"Ayo Dosunmu";"Guard";"'6'5""";200;"Illinois";"USA"
"Andre Drummond";"Center";"'6'11""";279;"Connecticut";"USA"
"Tari Eason";"Forward";"'6'8""";215;"Louisiana State";"USA"
"Joel Embiid";"Center-Forward";"'7'0""";280;"Kansas";"Cameroon"
"Bruno Fernando";"Forward-Center";"'6'9""";240;"Maryland";"Angola"
"Malachi Flynn";"Guard";"'6'1""";185;"San Diego State";"USA"
"Evan Fournier";"Guard-Forward";"'6'6""";205;"Poitiers Basket 86";"France"
"Markelle Fultz";"Guard";"'6'4""";209;"Washington";"USA"
"Darius Garland";"Guard";"'6'1""";192;"Vanderbilt";"USA"
"Aaron Gordon";"Forward";"'6'8""";235;"Arizona";"USA"
"Devonte' Graham";"Guard";"'6'1""";195;"Kansas";"USA"
"Jerami Grant";"Forward";"'6'7""";210;"Syracuse";"USA"
"Jalen Green";"Guard";"'6'4""";186;"NBA G League Ignite";"USA"
"AJ Griffin";"Forward";"'6'6""";220;"Duke";"USA"
"Gary Harris";"Guard";"'6'4""";210;"Michigan State";"USA"
"Jaxson Hayes";"Center-Forward";"'7'0""";220;"Texas";"USA"
"Scoot Henderson";"Guard";"'6'3""";202;"NBA G League Ignite";"USA"
"Jalen Hood-Schifino";"Guard";"'6'5""";215;"Indiana";"USA"
"Caleb Houstan";"Guard";"'6'8""";205;"Michigan";"Canada"
"Jett Howard";"Guard";"'6'6""";215;"Michigan";"USA"
"De'Andre Hunter";"Forward-Guard";"'6'8""";221;"Virginia";"USA"
"Jonathan Isaac";"Forward";"'6'10""";230;"Florida State";"USA"
"Jaden Ivey";"Guard";"'6'4""";195;"Purdue";"USA"
"GG Jackson";"Forward";"'6'9""";210;"South Carolina";"USA"
"Andre Jackson Jr.";"Guard";"'6'6""";209;"Connecticut";"USA"
"Jaren Jackson Jr.";"Forward-Center";"'6'10""";242;"Michigan State";"USA"
"LeBron James";"Forward";"'6'9""";250;"St. Vincent-St. Mary HS (OH)";"USA"
"Ty Jerome";"Guard-Forward";"'6'5""";195;"Virginia";"USA"
"Jalen Johnson";"Forward";"'6'8""";219;"Duke";"USA"
"Keldon Johnson";"Forward-Guard";"'6'5""";220;"Kentucky";"USA"
"Nikola Jokic";"Center";"'6'11""";284;"Mega Basket";"Serbia"
"Tre Jones";"Guard";"'6'1""";185;"Duke";"USA"
"Luke Kennard";"Guard";"'6'5""";206;"Duke";"USA"
"Maxwell Lewis";"Forward";"'6'7""";195;"Pepperdine";"USA"
"Damian Lillard";"Guard";"'6'2""";195;"Weber State";"USA"
"Chris Livingston";"Forward";"'6'6""";220;"Kentucky";"USA"
"Brook Lopez";"Center";"'7'1""";282;"Stanford";"USA"
"Kyle Lowry";"Guard";"'6'0""";196;"Villanova";"USA"
"Seth Lundy";"Guard-Forward";"'6'4""";220;"Penn State";"USA"
"Tyrese Maxey";"Guard";"'6'2""";200;"Kentucky";"USA"
"Skylar Mays";"Guard";"'6'3""";205;"Louisiana State";"USA"
"De'Anthony Melton";"Guard";"'6'3""";200;"Southern California";"USA"
"Khris Middleton";"Forward";"'6'7""";222;"Texas A&M";"USA"
"Patty Mills";"Guard";"'6'2""";180;"St. Mary's";"Australia"
"Donovan Mitchell";"Guard";"'6'3""";215;"Louisville";"USA"
"Evan Mobley";"Center";"'6'11""";215;"Southern California";"USA"
"Isaiah Mobley";"Forward";"'6'8""";238;"Southern California";"USA"
"Ja Morant";"Guard";"'6'2""";174;"Murray State";"USA"
"Marcus Morris Sr.";"Forward";"'6'8""";218;"Kansas";"USA"
"Dejounte Murray";"Guard";"'6'5""";180;"Washington";"USA"
"Jamal Murray";"Guard";"'6'4""";215;"Kentucky";"Canada"
"Kris Murray";"Forward";"'6'8""";210;"Iowa";"USA"
"Zeke Nnaji";"Forward-Center";"'6'9""";240;"Arizona";"USA"
"Jordan Nwora";"Forward";"'6'8""";225;"Louisville";"USA"
"Chuma Okeke";"Forward";"'6'7""";229;"Auburn";"USA"
"Onyeka Okongwu";"Forward-Center";"'6'10""";240;"Southern California";"USA"
"Isaac Okoro";"Forward-Guard";"'6'5""";225;"Auburn";"USA"
"Kelly Oubre Jr.";"Forward-Guard";"'6'7""";203;"Kansas";"USA"
"Jakob Poeltl";"Center";"'7'0""";260;"Utah";"Austria"
"Michael Porter Jr.";"Forward";"'6'10""";218;"Missouri";"USA"
"Bobby Portis";"Forward";"'6'10""";250;"Arkansas";"USA"
"Cam Reddish";"Forward-Guard";"'6'7""";217;"Duke";"USA"
"Paul Reed";"Forward";"'6'9""";210;"DePaul";"USA"
"Ryan Rollins";"Guard";"'6'3""";180;"Toledo";"USA"
"Derrick Rose";"Guard";"'6'3""";200;"Memphis";"USA"
"Rayan Rupert";"Guard-Forward";"'6'6""";185;"New Zealand Breakers";"France"
"D'Angelo Russell";"Guard";"'6'3""";193;"Ohio State";"USA"
"Marcus Sasser";"Guard";"'6'2""";195;"Houston";"USA"
"Admiral Schofield";"Forward";"'6'5""";241;"Tennessee";"United Kingdom"
"Dennis Schroder";"Guard";"'6'1""";175;"Braunschweig";"Germany"
"Shaedon Sharpe";"Guard";"'6'5""";205;"Kentucky";"Canada"
"Ben Simmons";"Guard-Forward";"'6'10""";240;"Louisiana State";"Australia"
"Anfernee Simons";"Guard";"'6'3""";193;"Edgewater HS (FL)";"USA"
"Jabari Smith Jr.";"Forward";"'6'11""";220;"Auburn";"USA"
"Jeremy Sochan";"Forward";"'6'8""";230;"Baylor";"Poland"
"Isaiah Stewart";"Forward-Center";"'6'8""";250;"Washington";"USA"
"Jalen Suggs";"Guard";"'6'5""";205;"Gonzaga";"USA"
"Dalen Terry";"Forward";"'6'7""";195;"Arizona";"USA"
"Cam Thomas";"Guard";"'6'3""";210;"Louisiana State";"Japan"
"Amen Thompson";"Guard-Forward";"'6'7""";200;"Overtime Elite";"USA"
"Ausar Thompson";"Guard-Forward";"'6'6""";205;"Overtime Elite";"USA"
"Tristan Thompson";"Center-Forward";"'6'9""";254;"Texas-Austin";"Canada"
"Jarred Vanderbilt";"Forward";"'6'8""";214;"Kentucky";"USA"
"Devin Vassell";"Guard-Forward";"'6'5""";200;"Florida State";"USA"
"Nikola Vucevic";"Center";"'6'10""";260;"Southern California";"Montenegro"
"Franz Wagner";"Forward";"'6'10""";220;"Michigan";"Germany"
"Moritz Wagner";"Forward-Center";"'6'11""";245;"Michigan";"Germany"
"Jabari Walker";"Forward";"'6'7""";227;"Colorado";"USA"
"Lonnie Walker IV";"Guard-Forward";"'6'4""";204;"Miami";"USA"
"TyTy Washington Jr.";"Guard";"'6'3""";195;"Kentucky";"USA"
"Victor Wembanyama";"Forward-Center";"'7'4""";210;"Metropolitans 92";"France"
"Blake Wesley";"Guard";"'6'3""";185;"Notre Dame";"USA"
"Coby White";"Guard";"'6'5""";195;"North Carolina";"USA"
"Dariq Whitehead";"Forward";"'6'6""";220;"Duke";"USA"
"Cam Whitmore";"Forward";"'6'7""";230;"Villanova";"USA"
"Patrick Williams";"Forward";"'6'7""";215;"Florida State";"USA"
"Vince Williams Jr.";"Guard";"'6'4""";205;"Virginia Commonwealth";"USA"
"Jalen Wilson";"Forward";"'6'6""";220;"Kansas";"USA"
"Dylan Windler";"Guard-Forward";"'6'7""";196;"Belmont";"USA"
