"player_name";"team_id";"team_abbr";"max_game_date";"GP";"W";"L";"W_PCT";"MIN";"FGM";"FGA";"FG_PCT";"FG3M";"FG3A";"FG3_PCT";"FTM";"FTA";"FT_PCT";"OREB";"DREB";"REB";"AST";"TOV";"STL";"BLK";"BLKA";"PF";"PFD";"PTS";"PLUS_MINUS";"NBA_FANTASY_PTS";"DD2";"TD3";"WNBA_FANTASY_PTS";"GP_RANK";"W_RANK";"L_RANK";"W_PCT_RANK";"MIN_RANK";"FGM_RANK";"FGA_RANK";"FG_PCT_RANK";"FG3M_RANK";"FG3A_RANK";"FG3_PCT_RANK";"FTM_RANK";"FTA_RANK";"FT_PCT_RANK";"OREB_RANK";"DREB_RANK";"REB_RANK";"AST_RANK";"TOV_RANK";"STL_RANK";"BLK_RANK";"BLKA_RANK";"PF_RANK";"PFD_RANK";"PTS_RANK";"PLUS_MINUS_RANK";"NBA_FANTASY_PTS_RANK";"DD2_RANK";"TD3_RANK";"WNBA_FANTASY_PTS_RANK"
"Ochai Agbaji";-1;"TOT";"2024-03-27";72;29;43;0.403;1457.6833333333334;164;396;0.414;61;200;0.305;28;42;0.667;66;128;194;73;55;42;38;37;102;42;417;-249;944;0;0;905;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Ochai Agbaji";1610612761;"TOR";"2024-03-27";21;4;17;0.19;454.2966666666667;58;147;0.395;14;58;0.241;13;22;0.591;31;37;68;26;21;15;9;16;36;18;143;-128;315;0;0;299;3;3;1;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;1;1;3;3;3;3;1;1;3
"Jarrett Allen";1610612739;"CLE";"2024-04-02";71;44;27;0.62;2241.9483333333333;471;746;0.631;0;5;0.0;221;297;0.744;223;531;754;192;113;49;77;64;138;312;1163;202;2621;38;0;2361;3;1;4;3;1;1;1;5;6;7;6;1;1;3;1;1;1;1;1;2;5;8;4;1;1;2;1;1;1;1
"Giannis Antetokounmpo";1610612749;"MIL";"2024-04-02";70;44;26;0.629;2467.905;810;1315;0.616;34;119;0.286;504;766;0.658;189;622;811;453;239;84;70;84;203;589;2158;324;4034;56;10;3764;7;5;6;6;5;1;2;1;9;8;6;2;2;9;1;4;3;1;3;5;8;9;5;1;1;6;2;1;1;2
"Cole Anthony";1610612753;"ORL";"2024-04-01";74;44;30;0.595;1690.36;309;707;0.437;88;258;0.341;173;211;0.82;62;235;297;219;116;58;35;30;167;157;879;101;1727;3;0;1669;1;1;1;1;2;2;2;2;2;2;2;2;2;4;1;3;2;3;2;1;1;2;3;2;2;1;2;2;1;2
"Mo Bamba";1610612755;"PHI";"2024-03-31";53;26;27;0.491;702.5166666666667;94;188;0.5;24;60;0.4;32;48;0.667;74;150;224;40;39;22;55;12;95;45;244;-48;765;1;0;686;3;2;3;2;5;6;6;1;5;6;1;5;5;5;4;5;5;4;4;3;5;2;4;4;6;4;5;4;1;5
"Paolo Banchero";1610612753;"ORL";"2024-04-01";73;43;30;0.589;2539.7616666666668;583;1263;0.462;110;313;0.351;351;493;0.712;74;421;495;388;228;68;44;81;141;338;1627;25;2911;14;2;2844;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1
"Dalano Banton";-1;"TOT";"2024-04-01";48;22;26;0.458;834.12;159;381;0.417;49;147;0.333;72;93;0.774;38;111;149;94;60;26;17;28;57;64;439;-188;828;1;0;817;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Dalano Banton";1610612757;"POR";"2024-04-01";24;4;20;0.167;663.0266666666666;140;330;0.424;47;131;0.359;56;73;0.767;26;88;114;75;50;21;14;25;37;49;383;-208;687;1;0;689;3;4;3;4;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;4;3;1;1;4;1;1;1;1
"Scottie Barnes";1610612761;"TOR";"2024-03-01";60;22;38;0.367;2094.248333333333;447;942;0.475;101;296;0.341;196;251;0.781;141;353;494;363;165;75;88;48;118;215;1191;-144;2652;25;4;2475;3;3;2;3;3;3;2;2;1;1;1;1;1;1;3;2;3;2;1;3;1;3;1;2;1;3;1;1;1;1
"Charles Bassey";1610612759;"SAS";"2023-12-01";19;3;16;0.158;205.275;29;40;0.725;0;1;0.0;5;6;0.833;23;53;76;21;15;8;17;1;31;10;63;-46;246;0;0;210;3;3;2;3;2;3;3;1;2;3;2;3;3;1;2;2;2;2;2;2;2;1;1;3;3;3;2;2;1;2
"Emoni Bates";1610612739;"CLE";"2024-03-25";13;7;6;0.538;101.565;12;37;0.324;9;28;0.321;1;4;0.25;1;10;11;7;2;1;2;2;5;5;34;-58;65;0;0;67;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Nicolas Batum";-1;"TOT";"2024-04-02";54;30;24;0.556;1351.545;107;227;0.471;66;162;0.407;15;21;0.714;66;156;222;112;37;41;36;1;101;24;295;130;923;0;0;849;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Nicolas Batum";1610612755;"PHI";"2024-04-02";51;28;23;0.549;1297.4366666666667;104;219;0.475;64;155;0.413;15;21;0.714;66;149;215;107;36;38;32;1;96;24;287;130;880;0;0;813;14;12;4;10;14;15;15;2;13;14;1;15;15;14;7;13;14;11;14;14;12;2;6;16;15;7;14;11;6;14
"Malik Beasley";1610612749;"MIL";"2024-04-02";72;44;28;0.611;2151.903333333333;299;667;0.448;211;502;0.42;24;34;0.706;41;230;271;98;51;57;9;26;148;38;833;345;1452;1;0;1545;3;3;5;4;1;3;4;4;2;2;2;6;6;8;1;1;1;2;4;1;3;7;10;3;3;1;2;1;1;2
"MarJon Beauchamp";1610612749;"MIL";"2024-03-24";46;30;16;0.652;592.955;75;157;0.478;28;72;0.389;19;28;0.679;22;74;96;30;27;12;6;16;53;20;197;-11;384;0;0;387;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;1;2
"Patrick Beverley";-1;"TOT";"2024-04-02";69;41;28;0.594;1356.0883333333334;143;352;0.406;54;169;0.32;70;86;0.814;44;169;213;194;62;40;31;13;123;90;410;-74;1108;1;0;1013;1;1;1;1;2;2;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;1;2;2;1;2;2;1;2
"Patrick Beverley";1610612749;"MIL";"2024-04-02";22;14;8;0.636;437.0416666666667;39;111;0.351;19;60;0.317;19;23;0.826;14;54;68;50;13;16;13;5;40;27;116;-59;347;0;0;311;12;12;2;5;13;14;14;14;14;13;13;12;12;2;14;13;13;13;14;14;13;3;2;14;14;13;13;9;1;13
"Patrick Beverley";1610612755;"PHI";"2024-02-07";47;27;20;0.574;919.0466666666666;104;241;0.432;35;109;0.321;51;63;0.81;30;115;145;144;49;24;18;8;83;63;294;-15;761;1;0;702;8;8;8;9;9;8;8;2;11;10;12;6;6;5;9;9;8;8;8;11;11;5;4;9;8;12;9;7;1;9
"Saddiq Bey";1610612737;"ATL";"2024-03-10";63;28;35;0.444;2061.6583333333333;290;697;0.416;113;358;0.316;170;203;0.837;167;244;411;92;54;51;11;49;88;139;863;-19;1626;8;0;1603;3;1;2;2;2;2;2;2;3;3;5;3;3;4;1;3;2;3;3;3;4;4;3;2;2;2;2;1;1;2
"Anthony Black";1610612753;"ORL";"2024-03-30";65;37;28;0.569;1133.66;111;242;0.459;35;91;0.385;49;80;0.613;33;105;138;90;53;35;21;16;108;77;306;-27;722;0;0;681;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Malaki Branham";1610612759;"SAS";"2024-04-02";71;16;55;0.225;1468.243333333333;251;582;0.431;81;241;0.336;54;61;0.885;27;111;138;150;83;25;7;39;88;58;637;-360;1041;0;0;1070;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;1;1;2;1;1;1;2;2;1;2;1;1;2
"Christian Braun";1610612743;"DEN";"2024-04-02";76;53;23;0.697;1493.76;199;437;0.455;54;144;0.375;87;125;0.696;69;206;275;114;51;36;32;46;128;79;539;-61;1193;1;0;1118;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1
"Mikal Bridges";1610612751;"BKN";"2024-04-01";76;29;47;0.382;2690.998333333333;542;1240;0.437;206;559;0.369;254;312;0.814;64;289;353;283;157;78;28;52;110;247;1544;-186;2553;3;0;2598;3;5;6;6;2;1;1;6;1;1;5;1;1;6;4;1;1;1;1;4;6;7;2;1;1;6;1;1;1;1
"Malcolm Brogdon";1610612757;"POR";"2024-02-02";39;15;24;0.385;1120.8166666666666;218;496;0.44;82;199;0.412;95;116;0.819;28;120;148;214;60;27;8;29;58;93;613;-81;1157;4;0;1127;7;7;6;8;8;8;8;7;4;5;3;7;7;8;7;8;8;5;8;8;8;1;1;7;8;8;7;4;3;7
"Dillon Brooks";1610612745;"HOU";"2024-04-02";66;34;32;0.515;2033.0633333333333;299;698;0.428;119;337;0.353;111;132;0.841;47;178;225;110;84;56;9;29;215;106;828;19;1374;1;0;1412;5;3;5;4;4;5;5;3;4;4;4;5;5;2;4;3;4;5;5;5;5;3;3;6;5;4;5;1;1;5
"Bruce Brown";-1;"TOT";"2024-04-02";63;25;38;0.397;1776.0;259;552;0.469;51;158;0.323;112;133;0.842;53;222;275;182;81;58;17;40;140;93;681;-170;1428;2;0;1339;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Bruce Brown";1610612761;"TOR";"2024-04-02";30;6;24;0.2;795.4216666666666;110;238;0.462;18;57;0.316;45;51;0.882;28;93;121;82;40;23;9;20;59;34;283;-250;607;1;0;568;7;7;3;7;7;7;7;5;6;7;5;6;7;1;6;7;7;7;7;7;6;1;1;7;7;7;7;4;2;7
"Kobe Bufkin";1610612737;"ATL";"2024-04-01";10;7;3;0.7;106.23166666666668;14;41;0.341;6;20;0.3;2;4;0.5;2;14;16;18;6;3;2;4;7;2;36;7;91;0;0;86;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
