"player_name";"team_id";"team_abbr";"max_game_date";"GP";"W";"L";"W_PCT";"MIN";"FGM";"FGA";"FG_PCT";"FG3M";"FG3A";"FG3_PCT";"FTM";"FTA";"FT_PCT";"OREB";"DREB";"REB";"AST";"TOV";"STL";"BLK";"BLKA";"PF";"PFD";"PTS";"PLUS_MINUS";"NBA_FANTASY_PTS";"DD2";"TD3";"WNBA_FANTASY_PTS";"GP_RANK";"W_RANK";"L_RANK";"W_PCT_RANK";"MIN_RANK";"FGM_RANK";"FGA_RANK";"FG_PCT_RANK";"FG3M_RANK";"FG3A_RANK";"FG3_PCT_RANK";"FTM_RANK";"FTA_RANK";"FT_PCT_RANK";"OREB_RANK";"DREB_RANK";"REB_RANK";"AST_RANK";"TOV_RANK";"STL_RANK";"BLK_RANK";"BLKA_RANK";"PF_RANK";"PFD_RANK";"PTS_RANK";"PLUS_MINUS_RANK";"NBA_FANTASY_PTS_RANK";"DD2_RANK";"TD3_RANK";"WNBA_FANTASY_PTS_RANK"
"Kentavious Caldwell-Pope";1610612743;"DEN";"2024-04-02";70;50;20;0.714;2227.315;241;536;0.45;112;279;0.401;101;111;0.91;29;138;167;170;69;94;38;14;137;96;695;510;1477;0;0;1408;9;3;2;2;7;8;8;3;9;9;3;8;9;1;10;9;9;3;7;4;1;2;4;9;8;1;8;6;1;8
"Clint Capela";1610612737;"ATL";"2024-04-01";67;32;35;0.478;1710.0866666666666;324;570;0.568;0;1;0.0;118;186;0.634;315;392;707;80;65;39;102;68;156;153;766;-25;2092;35;0;1835;4;8;9;10;6;7;5;9;1;1;1;4;5;2;1;6;6;3;5;7;3;10;5;4;7;9;5;4;2;5
"Jevon Carter";1610612741;"CHI";"2024-04-01";68;33;35;0.485;923.9183333333332;127;331;0.384;71;210;0.338;4;7;0.571;9;46;55;79;34;33;14;6;67;13;329;13;621;0;0;628;2;3;7;6;3;2;2;5;2;2;5;6;6;6;5;6;6;3;2;3;3;3;5;6;2;3;3;3;1;3
"Wendell Carter Jr.";1610612753;"ORL";"2024-04-01";48;27;21;0.563;1248.486666666667;197;375;0.525;54;145;0.372;90;130;0.692;98;246;344;86;62;31;26;20;102;129;538;62;1189;8;0;1136;3;1;3;1;4;3;3;2;3;3;1;4;4;6;4;4;4;3;5;3;5;3;3;4;3;1;3;4;1;3
"Max Christie";1610612747;"LAL";"2024-04-02";62;35;27;0.565;929.5083333333332;102;235;0.434;42;115;0.365;34;44;0.773;15;125;140;58;35;20;17;21;57;27;280;-13;611;0;0;594;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1
"Sidy Cissoko";1610612759;"SAS";"2024-04-02";7;1;6;0.143;36.958333333333336;1;6;0.167;0;4;0.0;4;4;1.0;0;7;7;0;1;3;0;1;3;2;6;15;22;0;0;19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Nic Claxton";1610612751;"BKN";"2024-04-01";66;24;42;0.364;1965.1616666666664;344;547;0.629;1;5;0.2;104;184;0.565;181;472;653;134;82;46;132;37;165;220;793;-298;2230;28;0;1937;2;2;5;4;2;2;2;3;1;2;1;2;2;2;2;2;2;2;2;2;2;5;4;1;2;5;2;1;1;2
"Noah Clowney";1610612751;"BKN";"2024-04-01";17;7;10;0.412;186.3583333333333;20;44;0.455;4;16;0.25;8;12;0.667;12;27;39;11;8;5;3;4;14;11;52;3;131;0;0;122;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Pat Connaughton";1610612749;"MIL";"2024-04-02";69;43;26;0.623;1502.6416666666669;139;306;0.454;78;213;0.366;40;53;0.755;46;175;221;142;44;34;17;7;86;55;396;7;983;0;0;939;2;4;8;6;3;6;6;5;4;4;4;2;2;7;5;6;6;1;2;4;5;3;6;2;6;6;5;3;1;5
"Jae Crowder";1610612749;"MIL";"2024-04-02";44;24;20;0.545;1020.17;103;235;0.438;52;146;0.356;21;29;0.724;23;118;141;60;19;36;7;6;71;30;279;-45;648;0;0;618;11;10;7;11;11;12;12;6;10;12;5;13;13;13;11;11;11;9;12;11;13;3;5;12;12;13;11;7;1;11
"Cade Cunningham";1610612765;"DET";"2024-04-01";62;9;53;0.145;2074.225;524;1167;0.449;119;335;0.355;238;274;0.869;33;235;268;464;212;56;22;92;153;194;1405;-350;2445;14;0;2412;2;2;3;3;2;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;3;2;1;1;3;1;1;2;1
"DeMar DeRozan";1610612741;"CHI";"2024-04-01";74;35;39;0.473;2783.8;592;1247;0.475;68;210;0.324;492;574;0.857;41;277;318;388;117;82;44;71;153;409;1744;-69;2969;6;0;2770;9;10;11;9;5;8;8;7;2;2;4;5;5;4;11;8;9;4;14;6;1;7;5;4;7;9;6;4;2;6
"Gradey Dick";1610612761;"TOR";"2024-04-02";54;16;38;0.296;1090.1916666666666;157;372;0.422;73;202;0.361;38;44;0.864;25;83;108;67;43;30;2;19;77;43;425;-321;708;0;0;737;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Spencer Dinwiddie";-1;"TOT";"2024-04-02";70;34;36;0.486;2016.9416666666664;238;612;0.389;115;348;0.33;154;195;0.79;29;161;190;344;86;48;22;18;131;135;745;58;1613;4;0;1534;2;3;2;3;2;3;3;3;2;2;3;3;3;2;2;3;3;3;3;2;2;1;1;3;3;1;3;3;2;3
"Spencer Dinwiddie";1610612747;"LAL";"2024-04-02";22;15;7;0.682;543.0183333333333;43;113;0.381;26;70;0.371;29;35;0.829;3;29;32;56;24;10;13;2;45;25;141;85;308;0;0;301;11;8;3;2;10;11;11;9;10;10;4;11;10;3;12;11;11;11;11;11;6;2;4;12;11;1;11;9;2;11
"Spencer Dinwiddie";1610612751;"BKN";"2024-02-06";48;19;29;0.396;1473.9233333333334;195;499;0.391;89;278;0.32;125;160;0.781;26;132;158;288;62;38;9;16;86;110;604;-27;1305;4;0;1233;6;6;9;10;5;5;5;7;5;5;7;6;5;10;5;7;7;4;7;6;7;6;7;7;5;6;5;5;2;5
"Ayo Dosunmu";1610612741;"CHI";"2024-04-01";74;36;38;0.486;2137.52;346;692;0.5;113;285;0.396;81;99;0.818;50;155;205;233;94;64;34;57;159;80;886;-154;1682;1;0;1633;3;3;2;3;1;1;1;2;1;1;1;1;1;1;1;3;3;2;3;1;1;3;1;1;1;2;1;2;1;1
"Andre Drummond";1610612741;"CHI";"2024-04-01";76;36;40;0.474;1298.118333333333;255;462;0.552;0;3;0.0;125;212;0.59;255;425;680;37;78;67;47;42;134;180;635;14;1771;16;0;1580;7;4;11;9;8;8;8;6;7;8;7;8;8;5;7;8;8;9;10;8;9;7;7;8;8;5;8;9;1;8
"Tari Eason";1610612745;"HOU";"2024-01-01";22;12;10;0.545;480.105;88;189;0.466;18;50;0.36;21;33;0.636;46;107;153;27;20;31;19;17;51;24;215;88;569;3;0;513;2;2;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;1;2
"Joel Embiid";1610612755;"PHI";"2024-04-02";35;27;8;0.771;1186.2216666666666;408;768;0.531;41;115;0.357;368;415;0.887;90;300;390;200;132;42;60;48;102;269;1225;232;2167;27;2;2060;7;7;1;1;7;6;7;2;7;7;4;5;7;1;7;7;7;4;7;6;8;4;1;7;6;6;7;7;1;7
"Bruno Fernando";1610612737;"ATL";"2024-04-01";38;19;19;0.5;538.2533333333333;89;150;0.593;0;4;0.0;45;69;0.652;55;109;164;36;37;24;26;16;82;55;223;-17;587;0;0;523;2;2;5;3;2;2;2;2;3;2;3;1;1;5;2;2;2;2;2;1;2;6;6;1;2;3;2;4;1;2
"Malachi Flynn";-1;"TOT";"2024-04-01";62;27;35;0.435;732.985;101;246;0.411;47;136;0.346;37;50;0.74;20;81;101;101;50;28;8;15;56;46;286;-154;617;0;0;607;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Malachi Flynn";1610612765;"DET";"2024-04-01";17;3;14;0.176;198.20333333333332;36;86;0.419;15;43;0.349;11;17;0.647;7;23;30;22;14;9;2;6;11;13;98;-83;186;0;0;187;5;6;2;6;5;5;5;1;5;5;3;5;5;5;5;5;5;5;4;5;5;2;2;5;5;5;5;2;1;5
"Malachi Flynn";1610612761;"TOR";"2023-12-29";31;12;19;0.387;474.26166666666666;56;137;0.409;28;80;0.35;17;22;0.773;13;52;65;73;33;18;6;6;42;24;157;-67;384;0;0;371;4;4;3;5;4;4;4;2;4;4;2;3;4;3;2;4;3;2;2;4;2;2;3;4;4;4;4;2;1;4
"Evan Fournier";-1;"TOT";"2024-04-01";26;7;19;0.269;463.465;61;176;0.347;29;109;0.266;24;29;0.828;4;44;48;40;18;26;4;5;41;15;175;-100;365;0;0;352;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2
"Evan Fournier";1610612765;"DET";"2024-04-01";23;5;18;0.217;424.83166666666665;57;156;0.365;27;94;0.287;22;27;0.815;4;40;44;37;17;22;4;5;37;14;163;-89;332;0;0;323;12;13;6;14;13;12;12;12;12;12;13;11;11;6;12;12;12;12;13;10;8;3;2;12;13;9;12;3;1;12
"Markelle Fultz";1610612753;"ORL";"2024-04-01";36;22;14;0.611;766.2116666666667;124;272;0.456;3;14;0.214;17;27;0.63;48;68;116;108;42;36;12;21;54;35;268;31;671;0;0;591;3;3;5;4;3;3;3;4;6;5;6;5;5;5;2;3;3;3;3;3;2;5;5;4;3;1;3;6;3;3
"Darius Garland";1610612739;"CLE";"2024-04-02";52;29;23;0.558;1726.2983333333334;336;753;0.446;117;321;0.364;138;165;0.836;27;109;136;342;160;62;6;42;90;147;927;114;1647;6;0;1658;5;3;1;2;5;4;4;4;3;3;4;3;3;5;3;3;3;3;4;4;3;3;1;4;4;3;3;3;2;3
"Aaron Gordon";1610612743;"DEN";"2024-04-02";69;47;22;0.681;2178.233333333333;381;687;0.555;39;132;0.295;161;245;0.657;166;285;451;234;101;53;42;56;135;208;962;387;2038;12;0;1876;5;1;3;2;4;5;7;2;9;8;8;4;3;9;1;7;5;2;4;6;6;10;7;3;6;2;4;4;3;5
"Devonte' Graham";1610612759;"SAS";"2024-04-02";17;4;13;0.235;161.45;19;50;0.38;12;38;0.316;7;9;0.778;2;21;23;26;6;6;1;1;10;8;57;17;139;0;0;132;7;6;1;6;7;7;7;2;7;7;6;7;7;4;7;7;7;7;7;7;7;1;1;7;7;4;7;3;1;7
"Jerami Grant";1610612757;"POR";"2024-03-11";54;17;37;0.315;1830.1866666666667;383;850;0.451;111;276;0.402;255;312;0.817;37;154;191;152;116;45;34;64;117;212;1132;-351;1710;1;0;1744;8;7;8;6;5;4;3;6;4;4;1;3;4;3;8;9;9;1;1;5;10;10;3;5;3;10;5;6;1;4
"Jalen Green";1610612745;"HOU";"2024-04-02";75;38;37;0.507;2383.6983333333333;525;1229;0.427;183;547;0.335;266;332;0.801;38;347;385;262;170;60;26;103;105;262;1499;75;2442;7;1;2501;2;1;1;1;2;2;2;1;2;2;3;2;2;1;2;1;1;2;2;1;1;2;2;2;2;1;2;1;1;2
"AJ Griffin";1610612737;"ATL";"2024-01-30";18;8;10;0.444;132.48;13;45;0.289;9;33;0.273;2;2;1.0;2;12;14;4;6;1;1;2;6;1;37;-28;60;0;0;68;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2
"Gary Harris";1610612753;"ORL";"2024-04-01";48;32;16;0.667;1114.7716666666668;123;269;0.457;68;182;0.374;34;45;0.756;21;59;80;74;28;41;13;6;81;36;348;74;689;0;0;678;8;4;2;1;8;8;8;4;8;8;5;9;9;9;7;8;8;7;8;8;5;1;4;9;8;6;8;1;1;8
"Jaxson Hayes";1610612747;"LAL";"2024-04-02";64;37;27;0.578;777.3566666666667;109;155;0.703;0;8;0.0;46;73;0.63;63;124;187;30;36;27;24;15;112;73;264;-77;650;1;0;583;2;1;2;1;4;4;5;1;5;4;5;5;5;5;4;4;4;5;4;2;4;3;3;4;4;5;4;3;1;4
"Scoot Henderson";1610612757;"POR";"2024-04-01";56;16;40;0.286;1547.6366666666668;263;693;0.38;68;225;0.302;151;184;0.821;48;130;178;277;180;40;12;45;176;183;745;-432;1350;5;0;1372;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Jalen Hood-Schifino";1610612747;"LAL";"2024-03-06";21;10;11;0.476;108.98333333333332;10;45;0.222;2;15;0.133;12;20;0.6;2;11;13;8;9;3;2;5;13;10;34;-54;68;0;0;67;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Caleb Houstan";1610612753;"ORL";"2024-03-30";56;30;26;0.536;791.0016666666667;79;200;0.395;71;187;0.38;19;24;0.792;28;54;82;28;16;13;3;1;61;17;248;-19;420;0;0;461;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;1;1;1;1;1;1;1;1
"Jett Howard";1610612753;"ORL";"2024-03-17";14;7;7;0.5;51.75;8;23;0.348;5;18;0.278;2;4;0.5;1;4;5;3;2;0;1;0;3;2;23;-2;35;0;0;38;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"De'Andre Hunter";1610612737;"ATL";"2024-04-01";51;25;26;0.49;1481.315;270;583;0.463;106;267;0.397;144;168;0.857;29;167;196;73;69;36;15;25;129;170;790;-2;1219;2;0;1267;4;3;3;4;4;3;3;2;2;3;1;2;2;2;3;3;3;3;3;2;4;2;2;2;2;3;3;2;1;3
"Jonathan Isaac";1610612753;"ORL";"2024-04-01";52;32;20;0.615;800.1183333333333;133;255;0.522;38;97;0.392;56;77;0.727;65;162;227;24;25;37;64;16;56;65;360;179;946;0;0;851;2;2;4;2;3;3;3;1;2;2;2;3;2;4;2;3;3;3;4;3;3;4;3;3;3;1;3;3;1;3
"Jaden Ivey";1610612765;"DET";"2024-04-01";70;13;57;0.186;2010.6266666666668;375;870;0.431;105;327;0.321;214;281;0.762;82;163;245;262;172;52;40;78;194;208;1069;-303;1860;1;0;1865;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;1;2
"GG Jackson";1610612763;"MEM";"2024-04-01";41;12;29;0.293;992.5183333333332;183;426;0.43;81;223;0.363;97;128;0.758;44;112;156;45;52;19;21;28;53;83;544;-187;867;0;0;906;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Andre Jackson Jr.";1610612749;"MIL";"2024-03-24";50;31;19;0.62;514.32;47;89;0.528;15;40;0.375;8;11;0.727;41;60;101;48;24;14;4;2;83;10;117;-62;340;1;0;317;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Jaren Jackson Jr.";1610612763;"MEM";"2024-04-01";65;21;44;0.323;2087.0416666666665;502;1135;0.442;115;359;0.32;332;411;0.808;85;277;362;150;160;77;105;118;233;373;1451;-359;2496;5;0;2442;2;5;6;6;2;1;1;4;3;3;4;1;1;3;3;3;3;1;1;1;3;6;5;1;1;6;2;3;1;1
"LeBron James";1610612747;"LAL";"2024-04-02";66;37;29;0.561;2317.5033333333336;628;1171;0.536;144;345;0.417;275;368;0.747;54;425;479;535;220;76;36;54;74;281;1675;191;3168;24;4;3057;16;16;14;16;16;15;18;5;4;9;1;17;18;11;19;14;15;10;16;17;16;12;2;17;17;15;15;12;10;15
"Ty Jerome";1610612739;"CLE";"2023-10-27";2;1;1;0.5;14.816666666666666;2;4;0.5;0;1;0.0;0;0;0.0;1;0;1;3;1;0;0;0;2;0;4;-14;9;0;0;8;5;5;1;2;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;2;5;1;1;5
"Jalen Johnson";1610612737;"ATL";"2024-04-01";52;26;26;0.5;1758.138333333333;332;651;0.51;67;189;0.354;101;140;0.721;68;376;444;181;89;60;46;46;130;118;832;-55;1865;18;0;1736;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;3;1;1;1;1
"Keldon Johnson";1610612759;"SAS";"2024-03-29";68;17;51;0.25;2014.6616666666664;389;854;0.456;126;362;0.348;173;219;0.79;94;279;373;194;97;50;19;56;146;165;1077;-339;1926;9;0;1908;3;3;5;5;3;3;3;4;3;3;3;3;3;2;1;3;3;1;2;2;2;2;4;3;3;4;3;1;1;3
"Nikola Jokic";1610612743;"DEN";"2024-04-02";73;51;22;0.699;2523.9533333333334;758;1310;0.579;73;214;0.341;335;407;0.823;208;691;899;656;214;94;66;62;178;397;1924;604;4253;62;23;3872;5;2;2;1;1;2;2;3;6;6;4;4;3;4;3;2;2;2;6;4;1;6;2;4;2;2;2;2;2;2
