"person_id";"player_name";"from_year";"to_year";"team_id";"team_city";"team_name";"team_abbr";"games_played_flag"
1627749;"Dejounte Murray";2016;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1627750;"Jamal Murray";2016;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1627751;"Jakob Poeltl";2016;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1627763;"Malcolm Brogdon";2016;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1628365;"Markelle Fultz";2017;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1628366;"Lonzo Ball";2017;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1628371;"Jonathan Isaac";2017;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1628378;"Donovan Mitchell";2017;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1628379;"Luke Kennard";2017;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
1628386;"Jarrett Allen";2017;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1628415;"Dillon Brooks";2017;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1628427;"Vlatko Cancar";2019;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1628964;"Mo Bamba";2018;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
1628969;"Mikal Bridges";2018;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1628971;"Bruce Brown";2018;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1628975;"Jevon Carter";2018;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1628976;"Wendell Carter Jr.";2018;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1628981;"Bruno Fernando";2019;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1628984;"Devonte' Graham";2018;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1628991;"Jaren Jackson Jr.";2018;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
1629001;"De'Anthony Melton";2018;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
1629008;"Michael Porter Jr.";2018;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1629014;"Anfernee Simons";2018;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1629020;"Jarred Vanderbilt";2018;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1629021;"Moritz Wagner";2018;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1629022;"Lonnie Walker IV";2018;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1629629;"Cam Reddish";2019;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1629630;"Ja Morant";2019;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
1629631;"De'Andre Hunter";2019;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1629632;"Coby White";2019;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1629636;"Darius Garland";2019;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1629637;"Jaxson Hayes";2019;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1629640;"Keldon Johnson";2019;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1629643;"Chuma Okeke";2020;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1629646;"Charles Bassey";2021;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1629651;"Nic Claxton";2019;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1629660;"Ty Jerome";2019;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1629670;"Jordan Nwora";2020;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1629678;"Admiral Schofield";2019;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1629685;"Dylan Windler";2019;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1630168;"Onyeka Okongwu";2020;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1630170;"Devin Vassell";2020;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1630171;"Isaac Okoro";2020;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1630172;"Patrick Williams";2020;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1630175;"Cole Anthony";2020;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1630178;"Tyrese Maxey";2020;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
1630180;"Saddiq Bey";2020;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1630191;"Isaiah Stewart";2020;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1630192;"Zeke Nnaji";2020;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1630194;"Paul Reed";2020;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
1630200;"Tre Jones";2020;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1630201;"Malachi Flynn";2020;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1630219;"Skylar Mays";2020;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1630224;"Jalen Green";2021;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1630245;"Ayo Dosunmu";2021;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1630532;"Franz Wagner";2021;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1630534;"Ochai Agbaji";2022;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1630536;"Sharife Cooper";2021;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1630552;"Jalen Johnson";2021;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1630560;"Cam Thomas";2021;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1630567;"Scottie Barnes";2021;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1630591;"Jalen Suggs";2021;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1630592;"Jalen Wilson";2023;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1630595;"Cade Cunningham";2021;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1630596;"Evan Mobley";2021;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1630600;"Isaiah Mobley";2022;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1630625;"Dalano Banton";2021;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1630699;"MarJon Beauchamp";2022;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1630703;"Scoot Henderson";2023;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1631093;"Jaden Ivey";2022;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1631094;"Paolo Banchero";2022;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1631095;"Jabari Smith Jr.";2022;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1631100;"AJ Griffin";2022;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1631101;"Shaedon Sharpe";2022;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1631102;"TyTy Washington Jr.";2022;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1631103;"Malaki Branham";2022;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1631104;"Blake Wesley";2022;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1631106;"Tari Eason";2022;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1631108;"Max Christie";2022;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1631110;"Jeremy Sochan";2022;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1631128;"Christian Braun";2022;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1631133;"Jabari Walker";2022;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1631157;"Ryan Rollins";2022;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1631200;"Kris Murray";2023;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1631204;"Marcus Sasser";2023;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1631207;"Dalen Terry";2022;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
1631216;"Caleb Houstan";2022;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1631246;"Vince Williams Jr.";2022;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
1631321;"Sidy Cissoko";2023;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1641705;"Victor Wembanyama";2023;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
1641708;"Amen Thompson";2023;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1641709;"Ausar Thompson";2023;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
1641710;"Anthony Black";2023;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1641711;"Gradey Dick";2023;2023;1610612761;"Toronto";"Raptors";"TOR";"Y"
1641712;"Rayan Rupert";2023;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
1641713;"GG Jackson";2023;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
1641715;"Cam Whitmore";2023;2023;1610612745;"Houston";"Rockets";"HOU";"Y"
1641720;"Jalen Hood-Schifino";2023;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1641721;"Maxwell Lewis";2023;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1641723;"Kobe Bufkin";2023;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
1641724;"Jett Howard";2023;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
1641727;"Dariq Whitehead";2023;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1641730;"Noah Clowney";2023;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1641734;"Emoni Bates";2023;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
1641748;"Andre Jackson Jr.";2023;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1641753;"Chris Livingston";2023;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1641754;"Seth Lundy";2023;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
