"person_id";"player_name";"from_year";"to_year";"team_id";"team_city";"team_name";"team_abbr";"games_played_flag"
2544;"LeBron James";2003;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
200768;"Kyle Lowry";2006;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
201565;"Derrick Rose";2008;2023;1610612763;"Memphis";"Grizzlies";"MEM";"Y"
201572;"Brook Lopez";2008;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
201587;"Nicolas Batum";2008;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
201942;"DeMar DeRozan";2009;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
201976;"Patrick Beverley";2012;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
201988;"Patty Mills";2009;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
202684;"Tristan Thompson";2011;2023;1610612739;"Cleveland";"Cavaliers";"CLE";"Y"
202694;"Marcus Morris Sr.";2011;2023;1610612759;"San Antonio";"Spurs";"SAS";"Y"
202696;"Nikola Vucevic";2011;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
203081;"Damian Lillard";2012;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
203083;"Andre Drummond";2012;2023;1610612741;"Chicago";"Bulls";"CHI";"Y"
203095;"Evan Fournier";2012;2023;1610612765;"Detroit";"Pistons";"DET";"Y"
203109;"Jae Crowder";2012;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
203114;"Khris Middleton";2012;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
203471;"Dennis Schroder";2013;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
203484;"Kentavious Caldwell-Pope";2013;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
203507;"Giannis Antetokounmpo";2013;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
203914;"Gary Harris";2014;2023;1610612753;"Orlando";"Magic";"ORL";"Y"
203915;"Spencer Dinwiddie";2014;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
203924;"Jerami Grant";2014;2023;1610612757;"Portland";"Trail Blazers";"POR";"Y"
203932;"Aaron Gordon";2014;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
203954;"Joel Embiid";2014;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
203991;"Clint Capela";2014;2023;1610612737;"Atlanta";"Hawks";"ATL";"Y"
203999;"Nikola Jokic";2015;2023;1610612743;"Denver";"Nuggets";"DEN";"Y"
1626156;"D'Angelo Russell";2015;2023;1610612747;"Los Angeles";"Lakers";"LAL";"Y"
1626162;"Kelly Oubre Jr.";2015;2023;1610612755;"Philadelphia";"76ers";"PHI";"Y"
1626171;"Bobby Portis";2015;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1626192;"Pat Connaughton";2015;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
1627732;"Ben Simmons";2016;2023;1610612751;"Brooklyn";"Nets";"BKN";"Y"
1627736;"Malik Beasley";2016;2023;1610612749;"Milwaukee";"Bucks";"MIL";"Y"
