Name,Position,Height,Weight,Last Attended,Country
Ron Anderson,Forward,"'6'7""",215,Fresno State,USA
Ryan Anderson,Forward,"'6'9""",240,California,USA
Shandon Anderson,Guard-Forward,"'6'6""",215,Georgia,USA
Willie Anderson,Guard-Forward,"'6'8""",200,Georgia,USA
Wally Anderzunas,Center,"'6'7""",220,Creighton,USA
Martynas Andriuskevicius,Center,"'7'2""",240,Zalgiris,Lithuania
Don Anielak,Forward,"'6'7""",190,Missouri State,USA
Ike Anigbogu,Center,"'6'10""",250,UCLA,USA
Michael Ansley,Forward,"'6'7""",225,Alabama,USA
Chris Anstey,Center,"'7'0""",249,South East Melbourne,Australia
Giannis Antetokounmpo,Forward,"'6'11""",243,Filathlitikos,Greece
Kostas Antetokounmpo,Forward,"'6'10""",200,Dayton,Greece
Thanasis Antetokounmpo,Forward,"'6'7""",219,Panathinaikos,Greece
Carmelo Anthony,Forward,"'6'7""",238,Syracuse,USA
Cole Anthony,Guard,"'6'2""",185,North Carolina,USA
Greg Anthony,Guard,"'6'1""",180,UNLV,USA
Joel Anthony,Center,"'6'9""",245,UNLV,Canada
Pero Antic,Forward-Center,"'6'11""",260,Olympiacos,Macedonia
OG Anunoby,Forward-Guard,"'6'7""",240,Indiana,United Kingdom
Keith Appling,Guard,"'6'1""",185,Michigan State,USA
Rafael Araujo,Center,"'6'11""",270,Brigham Young,Brazil
Stacey Arceneaux,Forward,"'6'4""",210,Iowa State,USA
Nate Archibald,Guard,"'6'1""",150,Texas-El Paso,USA
Robert Archibald,Forward,"'6'11""",250,Illinois,Scotland
Ryan Arcidiacono,Guard,"'6'3""",195,Villanova,USA
Jim Ard,Center,"'6'9""",215,Cincinnati,USA
Gilbert Arenas,Guard,"'6'4""",215,Arizona,USA
Trevor Ariza,Forward,"'6'8""",215,UCLA,USA
Paul Arizin,Forward,"'6'4""",190,Villanova,USA
Joe Arlauckas,Forward,"'6'9""",230,Niagara,USA
B.J. Armstrong,Guard,"'6'2""",185,Iowa,USA
Bob Armstrong,Center,"'6'8""",220,Michigan State,USA
