TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
1610612752,NYK,2024-03-08T00:00:00,9,2,7,0.222,38.151666666666664,5,9,0.556,1,4,0.25,2,2,1.0,3,4,7,3,1,0,1,1,3,1,13,-16,27.9,0,0,26.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jacob Toppin
1610612754,IND,2024-04-01T00:00:00,76,43,33,0.566,1619.6733333333334,300,525,0.571,91,227,0.401,70,93,0.753,77,214,291,113,63,40,37,29,132,83,761,83,1447.7,1,0,1410.0,1,1,3,2,1,1,1,1,1,2,1,2,2,3,1,1,1,1,1,1,1,4,4,2,1,2,1,2,1,1,Obi Toppin
1610612750,MIN,2024-03-04T00:00:00,60,41,19,0.683,1968.8266666666666,472,932,0.506,134,317,0.423,250,286,0.874,91,413,504,179,169,43,40,67,198,257,1328,343,2281.3,22,0,2311.0,6,3,2,1,6,6,6,7,3,3,1,6,6,1,8,6,7,6,5,6,8,5,4,6,6,2,7,8,3,6,Karl-Anthony Towns
1610612761,TOR,2024-03-31T00:00:00,66,22,44,0.333,1835.4983333333332,325,763,0.426,165,412,0.4,67,87,0.77,23,145,168,105,41,68,10,26,86,71,882,-191,1434.1,1,0,1476.0,2,5,7,6,3,3,3,3,3,3,2,3,3,6,4,2,3,3,3,3,4,5,4,3,3,7,3,1,1,3,Gary Trent Jr.
1610612754,IND,2024-03-01T00:00:00,8,2,6,0.25,41.916666666666664,10,20,0.5,0,0,0.0,6,8,0.75,8,8,16,2,0,2,1,4,3,5,26,14,57.2,0,0,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Oscar Tshiebwe
-1,TOT,2024-03-27T00:00:00,25,10,15,0.4,389.155,13,39,0.333,10,29,0.345,3,3,1.0,23,48,71,12,8,13,7,2,48,11,39,-30,194.2,0,0,172.0,3,3,1,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,1,1,3,3,1,3,2,1,3,P.J. Tucker
1610612746,LAC,2024-03-27T00:00:00,22,8,14,0.364,322.81333333333333,11,34,0.324,8,24,0.333,3,3,1.0,22,35,57,12,6,10,5,2,39,10,33,-58,158.4,0,0,140.0,13,14,5,11,14,14,14,16,14,14,12,14,15,1,13,14,13,14,14,13,12,2,4,14,14,12,14,10,1,14,P.J. Tucker
1610612755,PHI,2023-10-29T00:00:00,3,2,1,0.667,66.34166666666667,2,5,0.4,2,5,0.4,0,0,0.0,1,13,14,0,2,3,2,0,9,1,6,28,35.8,0,0,32.0,16,16,1,4,16,16,16,11,15,15,2,16,16,16,16,15,16,16,16,15,14,1,1,16,16,8,16,10,1,16,P.J. Tucker
1610612754,IND,2024-04-01T00:00:00,72,41,31,0.569,1950.2916666666667,439,848,0.518,105,299,0.351,228,295,0.773,108,387,495,92,103,38,135,40,221,245,1211,196,2359.0,15,0,2249.0,3,3,6,4,3,2,2,2,1,1,4,2,2,5,2,3,3,3,2,5,5,8,8,3,1,1,3,3,1,2,Myles Turner
1610612743,DEN,2024-03-31T00:00:00,14,10,4,0.714,40.40833333333333,7,17,0.412,4,12,0.333,0,0,0.0,1,8,9,2,2,0,0,0,10,0,18,7,29.8,0,0,33.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Hunter Tyson
